# source: MAM via sealed Tanakh token streams; license: CC BY-SA (MAM, he.wikisource); per-book stream sha256 in build-receipt-v1.json
work_id,unit_id,before_token_ordinal,kind,source_row_index,was_normalized_key
"tanakh/ezra","ezra-2-41",69825852,"setumah",466,"ס"
"tanakh/ezra","ezra-2-42",69825867,"setumah",481,"ס"
"tanakh/ezra","ezra-2-43",69825873,"setumah",487,"ס"
"tanakh/ezra","ezra-2-44",69825878,"setumah",492,"ס"
"tanakh/ezra","ezra-2-45",69825883,"setumah",497,"ס"
"tanakh/ezra","ezra-2-46",69825890,"setumah",504,"ס"
"tanakh/ezra","ezra-2-47",69825895,"setumah",509,"ס"
"tanakh/ezra","ezra-2-48",69825900,"setumah",514,"ס"
"tanakh/ezra","ezra-2-49",69825905,"setumah",519,"ס"
"tanakh/ezra","ezra-2-50",69825911,"setumah",525,"ס"
"tanakh/ezra","ezra-2-51",69825916,"setumah",530,"ס"
"tanakh/ezra","ezra-2-52",69825921,"setumah",535,"ס"
"tanakh/ezra","ezra-2-53",69825925,"setumah",539,"ס"
"tanakh/ezra","ezra-2-54",69825930,"setumah",544,"ס"
"tanakh/ezra","ezra-2-55",69825938,"setumah",552,"ס"
"tanakh/ezra","ezra-2-56",69825943,"setumah",557,"ס"
"tanakh/ezra","ezra-2-57",69825952,"setumah",566,"ס"
"tanakh/ezra","ezra-2-58",69825961,"petuchah",575,"פ"
"tanakh/ezra","ezra-2-59",69825979,"setumah",593,"ס"
"tanakh/ezra","ezra-2-60",69825988,"setumah",602,"ס"
"tanakh/ezra","ezra-2-61",69826005,"setumah",619,"ס"
"tanakh/ezra","ezra-2-66",69826056,"setumah",670,"ס"
"tanakh/ezra","ezra-2-67",69826068,"petuchah",682,"פ"
"tanakh/ezra","ezra-2-70",69826107,"setumah",721,"ס"
"tanakh/ezra","ezra-3-7",69826208,"petuchah",822,"פ"
"tanakh/ezra","ezra-4-7",69826439,"petuchah",1053,"פ"
"tanakh/ezra","ezra-4-11",69826497,"petuchah",1111,"פ"
"tanakh/ezra","ezra-4-12",69826519,"setumah",1133,"ס"
"tanakh/ezra","ezra-4-13",69826538,"setumah",1152,"ס"
"tanakh/ezra","ezra-4-16",69826597,"petuchah",1211,"פ"
"tanakh/ezra","ezra-4-17",69826614,"petuchah",1228,"פ"
"tanakh/ezra","ezra-4-22",69826673,"setumah",1287,"ס"
"tanakh/ezra","ezra-4-23",69826694,"setumah",1308,"ס"
"tanakh/ezra","ezra-4-24",69826709,"petuchah",1323,"פ"
"tanakh/ezra","ezra-5-1",69826725,"setumah",1339,"ס"
"tanakh/ezra","ezra-5-2",69826743,"petuchah",1357,"פ"
"tanakh/ezra","ezra-5-5",69826789,"petuchah",1403,"פ"
"tanakh/ezra","ezra-5-7",69826815,"setumah",1429,"ס"
"tanakh/ezra","ezra-5-10",69826864,"petuchah",1478,"פ"
"tanakh/ezra","ezra-5-12",69826907,"petuchah",1521,"פ"
"tanakh/ezra","ezra-5-17",69827008,"petuchah",1622,"פ"
"tanakh/ezra","ezra-6-4",69827068,"setumah",1682,"ס"
"tanakh/ezra","ezra-6-5",69827090,"setumah",1704,"ס"
"tanakh/ezra","ezra-6-12",69827216,"petuchah",1830,"פ"
"tanakh/ezra","ezra-6-15",69827265,"petuchah",1879,"פ"
"tanakh/ezra","ezra-6-18",69827308,"petuchah",1922,"פ"
"tanakh/ezra","ezra-6-22",69827361,"petuchah",1975,"פ"
"tanakh/ezra","ezra-7-6",69827406,"petuchah",2020,"פ"
"tanakh/ezra","ezra-7-10",69827454,"setumah",2068,"ס"
"tanakh/ezra","ezra-7-11",69827470,"petuchah",2084,"פ"
"tanakh/ezra","ezra-7-24",69827664,"petuchah",2278,"פ"
"tanakh/ezra","ezra-7-26",69827708,"petuchah",2322,"פ"
"tanakh/ezra","ezra-7-28",69827741,"petuchah",2355,"פ"
"tanakh/ezra","ezra-8-1",69827752,"setumah",2366,"ס"
"tanakh/ezra","ezra-8-4",69827785,"setumah",2399,"ס"
"tanakh/ezra","ezra-8-5",69827793,"setumah",2407,"ס"
"tanakh/ezra","ezra-8-6",69827801,"setumah",2415,"ס"
"tanakh/ezra","ezra-8-7",69827809,"setumah",2423,"ס"
"tanakh/ezra","ezra-8-8",69827817,"setumah",2431,"ס"
"tanakh/ezra","ezra-8-9",69827827,"setumah",2441,"ס"
"tanakh/ezra","ezra-8-10",69827835,"setumah",2449,"ס"
"tanakh/ezra","ezra-8-11",69827844,"setumah",2458,"ס"
"tanakh/ezra","ezra-8-12",69827853,"setumah",2467,"ס"
"tanakh/ezra","ezra-8-13",69827865,"setumah",2479,"ס"
"tanakh/ezra","ezra-8-14",69827874,"petuchah",2488,"פ"
"tanakh/ezra","ezra-8-19",69827950,"setumah",2564,"ס"
"tanakh/ezra","ezra-8-30",69828088,"petuchah",2702,"פ"
"tanakh/ezra","ezra-8-34",69828140,"petuchah",2754,"פ"
"tanakh/ezra","ezra-8-35",69828164,"petuchah",2778,"פ"
"tanakh/ezra","ezra-8-36",69828177,"setumah",2791,"ס"
"tanakh/ezra","ezra-9-9",69828339,"setumah",2953,"ס"
"tanakh/ezra","ezra-9-14",69828419,"setumah",3033,"ס"
"tanakh/ezra","ezra-9-15",69828437,"petuchah",3051,"פ"
"tanakh/ezra","ezra-10-1",69828457,"petuchah",3071,"פ"
"tanakh/ezra","ezra-10-3",69828492,"petuchah",3106,"פ"
"tanakh/ezra","ezra-10-4",69828500,"petuchah",3114,"פ"
"tanakh/ezra","ezra-10-8",69828554,"petuchah",3168,"פ"
"tanakh/ezra","ezra-10-11",69828600,"setumah",3214,"ס"
"tanakh/ezra","ezra-10-14",69828653,"setumah",3267,"ס"
"tanakh/ezra","ezra-10-17",69828696,"petuchah",3310,"פ"
"tanakh/ezra","ezra-10-21",69828732,"setumah",3346,"ס"
"tanakh/ezra","ezra-10-23",69828751,"setumah",3365,"ס"
"tanakh/ezra","ezra-10-24",69828758,"setumah",3372,"ס"
"tanakh/ezra","ezra-10-25",69828769,"setumah",3383,"ס"
"tanakh/ezra","ezra-10-26",69828778,"setumah",3392,"ס"
"tanakh/ezra","ezra-10-29",69828804,"setumah",3418,"ס"
"tanakh/ezra","ezra-10-30",69828816,"setumah",3430,"ס"
"tanakh/ezra","ezra-10-31",69828824,"setumah",3438,"ס"
"tanakh/ezra","ezra-10-32",69828828,"setumah",3442,"ס"
"tanakh/ezra","ezra-10-33",69828838,"setumah",3452,"ס"
"tanakh/ezra","ezra-10-35",69828849,"setumah",3463,"ס"
"tanakh/ezra","ezra-10-36",69828853,"setumah",3467,"ס"
"tanakh/ezra","ezra-10-37",69828858,"setumah",3472,"ס"
"tanakh/ezra","ezra-10-38",69828862,"setumah",3476,"ס"
"tanakh/ezra","ezra-10-39",69828866,"setumah",3480,"ס"
"tanakh/ezra","ezra-10-40",69828870,"setumah",3484,"ס"
"tanakh/ezra","ezra-10-41",69828874,"setumah",3488,"ס"
"tanakh/ezra","ezra-10-42",69828878,"setumah",3492,"ס"
