"work_id","work_title","source_refs","surface_word","normalized_word","lexical_status","renderings","reason","source_name","source_id","license"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:3","ואמת","ואמת","Potential","to die (literally / figuratively) / causatively / to kill / × at all / × crying / (be) dead (body / man / stability / (figuratively) certainty / truth / trustworthiness / assured(-ly) / establishment / faithful / right / truth, what is in accord with fact or reality / fright / concrete / an idol (as a bugbear) / dread / fear / horror / idol / terrible / a mother (as the bond of the family) / in a wide sense (both literally and figuratively [like father]) / dam / mother / × parting. / a maid-servant / female slave / (hand-) bondmaid(-woman) / maid(-servant). / properly / a mother (i.e. unit of measure / the fore-arm (below the elbow) / i.e. a cubit / also a door-base (as a bond of the entrance) / cubit / + hundred (by exchange for 3967 ) / measure / a collection / i.e. community of persons / nation / people.","Potential gloss contains noisy term: female slave.","OpenScriptures morphHB; OpenScriptures morphHB; Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB","H4191; H571; L204507; L204788; L64006; H367; H517; H519; H520; H523","CC BY 4.0; CC BY 4.0; CC0; CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:3","ואמת","ואמת","Potential","to die (literally / figuratively) / causatively / to kill / × at all / × crying / (be) dead (body / man / stability / (figuratively) certainty / truth / trustworthiness / assured(-ly) / establishment / faithful / right / truth, what is in accord with fact or reality / fright / concrete / an idol (as a bugbear) / dread / fear / horror / idol / terrible / a mother (as the bond of the family) / in a wide sense (both literally and figuratively [like father]) / dam / mother / × parting. / a maid-servant / female slave / (hand-) bondmaid(-woman) / maid(-servant). / properly / a mother (i.e. unit of measure / the fore-arm (below the elbow) / i.e. a cubit / also a door-base (as a bond of the entrance) / cubit / + hundred (by exchange for 3967 ) / measure / a collection / i.e. community of persons / nation / people.","Potential gloss contains noisy term: ass.","OpenScriptures morphHB; OpenScriptures morphHB; Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB","H4191; H571; L204507; L204788; L64006; H367; H517; H519; H520; H523","CC BY 4.0; CC BY 4.0; CC0; CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:1; Aderet Eliyahu, Genesis 1:1:13","וחשך","וחשכ","Potential","to restrain / (reflex.) refrain / by implication / to refuse / spare / preserve / to observe / assuage / the dark / hence (literally) darkness / figuratively / misery / destruction / death / ignorance / sorrow / darkness, lack of light / darkness / to be dark (as withholding light) / transitively / to darken / be black / be (make) dark / darken / cause darkness / be dim / dark (figuratively / i.e. obscure) / meaning","Potential gloss contains noisy term: ass.","OpenScriptures morphHB; OpenScriptures morphHB; Wikidata Lexeme; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon","H2820; H2822; L65211; H2821; H2823","CC BY 4.0; CC BY 4.0; CC0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:3","וכיוצא","וכיוצא","Potential","to go (causatively / bring ) out / in a great variety of applications / literally and figuratively / direct and proxim. / × after / appear / × assuredly","Potential gloss contains noisy term: ass.","Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB","L207363; L211686; L211843; H3318","CC0; CC0; CC0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:2; Aderet Eliyahu, Genesis 1:1:5; Aderet Eliyahu, Genesis 1:1:6; Aderet Eliyahu, Genesis 1:1:7; Aderet Eliyahu, Leviticus 1:1:1","ומה","ומה","Potential","properly / interrogative what? (including how? why? when? ) / but also exclamation / what! (including how! ) / indefinitely what (including whatever / and even relatively / that which ) / often used with prefixes in various adverbial / how great (mighty) / that which / what(-soever) / why.","Potential gloss contains noisy term: lama.","OpenScriptures morphHB; OpenScriptures morphHB","H4100; H4101","CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:3","חושך","חושכ","Potential","sense, physiological capacity of organisms that provides data for perception / sense / darkness, lack of light / darkness / to restrain / (reflex.) refrain / by implication / to refuse / spare / preserve / to observe / assuage","Potential gloss contains noisy term: ass.","Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB","L65210; L65211; H2820","CC0; CC0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:1","חשבה","חשבה","Potential","properly / to plait / interpenetrate / i.e. (literally) to weave / (generally) to fabricate / figuratively / to plot / contrive (usually in a malicious sense) / Cashubah / an Israelite / Hashubah.","Potential gloss contains noisy term: plot.","Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB; OpenScriptures HebrewLexicon","L210891; L65382; H2803; H2807","CC0; CC0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:7","יוצא","יוצא","Potential","to go (causatively / bring ) out / in a great variety of applications / literally and figuratively / direct and proxim. / × after / appear / × assuredly","Potential gloss contains noisy term: ass.","Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB","L207363; L211686; L211843; H3318","CC0; CC0; CC0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:16; Aderet Eliyahu, Deuteronomy 1:1:17; Aderet Eliyahu, Deuteronomy 1:1:19; Aderet Eliyahu, Deuteronomy 1:1:32","ים","ימ","Potential","a day (as the warm hours) / whether literal (from sunrise to sunset / from one sunset to the next) / figurative (a space of time defined by an associated term) / (often used adverb) / age / always / chronicals / a sea (as breaking in noisy surf) / large body of water / specifically (with the article) / the Mediterranean Sea / sometimes a large river / an artifical basin / locally / the west / sea. / a warm spring / mule.","Potential gloss contains noisy term: ass.","OpenScriptures morphHB; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon","H3117; H3220; H3221; H3222","CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:5; Aderet Eliyahu, Genesis 1:1:7","ימי","ימי","Potential","daylight / sea / a day (as the warm hours) / whether literal (from sunrise to sunset / from one sunset to the next) / figurative (a space of time defined by an associated term) / (often used adverb) / age / always / chronicals","Potential gloss contains noisy term: ass.","Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB","L211817; L65548; L65608; H3117","CC0; CC0; CC0; CC BY 4.0"
