normalized,surface,occurrence_count,work_count,families,current_match,route_status,candidate_route_count,match_families,candidate_source,license_lane,display_eligible,hud_inspectable,prehud_allowed,blocker,top_works
מהני,מהני,28165,146,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,netivot-hamishpat-beurim-on-shulchan-arukh-choshen-mishpat:1603; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:1545; arukh-hashulchan:1533; peri-megadim-on-orach-chayim:1285; urim-vetumim-tumim:1049
ע״א,ע״א,27665,169,chasidut; halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,4,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,yismach-moshe:1845; beer-hagolah-on-shulchan-arukh-choshen-mishpat:1585; tzafnat-paneach-on-mishneh-torah-heave-offerings:1575; tzafnat-paneach-on-mishneh-torah-gifts-to-the-poor:1380; agra-dekala:1012
כ׳,כ׳,27630,164,chasidut; halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,machatzit-hashekel-on-orach-chayim:2547; beit-meir-on-shulchan-arukh-even-haezer:2240; minchat-chinukh:1945; toafot-reem:1741; peri-tzadik:1126
ואמר,ואמר,27174,365,chasidut; kabbalah; midrash; unknown,unresolved_lexical_row,hud_evidence_only_or_source_review,47,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,ohr-hachammah-on-zohar:2066; ketem-paz-on-zohar:1794; akeidat-yitzchak:1438; peri-tzadik:910; ein-yaakov:899
אמריננ,אמרינן,26188,293,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:2508; arukh-hashulchan:2023; urim-vetumim-tumim:1916; drisha:858; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:617
פ׳,פ׳,26058,286,chasidut; halakhah; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,11,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,peri-tzadik:2450; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:1305; mekor-mayim-chayim-on-baal-shem-tov:1242; ohr-hachammah-on-zohar:1163; haamek-sheilah-on-sheiltot-drav-achai-gaon:884
מבואר,מבואר,25382,206,chasidut; halakhah; unknown,unresolved_lexical_row,hud_evidence_only_or_source_review,47,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,minchat-chinukh:3836; ohr-hashem:1641; arukh-hashulchan:1357; the-wars-of-the-lord:1250; yismach-moshe:840
דאמר,דאמר,25075,367,halakhah; midrash,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:3937; drisha:952; halakhot-gedolot:939; ein-yaakov:836; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:774
דהוי,דהוי,23755,276,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,19,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,minchat-chinukh:1667; machatzit-hashekel-on-orach-chayim:1439; peri-megadim-on-orach-chayim:1191; urim-vetumim-tumim:989; netivot-hamishpat-beurim-on-shulchan-arukh-choshen-mishpat:969
וז״ש,וז״ש,21519,43,chasidut; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,1,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,ohr-hachammah-on-zohar:8149; sefat-emet:2017; tiferet-shlomo:1909; mikdash-melekh-on-zohar:1790; zera-kodesh:1652
