work_id,units,parsed_units,unparsed_units,parse_laws,max_chapter,coordinate_collisions,y_state
"grammar/machberet-menachem",1,0,1,"",0,0,"UNPARSED_TYPED"
"grammar/sefer-habachur",1,1,0,"VARIANT_B_WSR",1,0,"FULLY_PARSED"
"grammar/sefer-harikma",48,48,0,"VARIANT_B_WSR",49,0,"FULLY_PARSED"
"halakhah-expansion/abudarham",83,0,83,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/ahavat-chesed",47,0,47,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/arukh-hashulchan",1557,0,1557,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/arukh-hashulchan-heatid",91,0,91,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/ba-alei-hanefesh",24,0,24,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/bedikat-hasakin",1,1,0,"VARIANT_A_DOUBLED",1,0,"FULLY_PARSED"
"halakhah-expansion/ben-ish-hai",2155,0,2155,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/care-of-the-critically-ill",18,0,18,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/chafetz-chaim",216,0,216,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/chayyei-adam",221,69,152,"VARIANT_A_DOUBLED",69,0,"PARTIAL"
"halakhah-expansion/chokhmat-adam",175,172,3,"VARIANT_A_DOUBLED",172,0,"PARTIAL"
"halakhah-expansion/dina-degarmei",1,1,0,"VARIANT_A_DOUBLED",1,0,"FULLY_PARSED"
"halakhah-expansion/geder-olam",11,8,3,"VARIANT_A_DOUBLED",8,0,"PARTIAL"
"halakhah-expansion/gevurat-anashim",74,72,2,"VARIANT_A_DOUBLED",72,0,"PARTIAL"
"halakhah-expansion/halakhot-gedolot",77,76,1,"VARIANT_A_DOUBLED",76,0,"PARTIAL"
"halakhah-expansion/issur-v-heter-l-rabbeinu-yerucham",81,81,0,"VARIANT_A_DOUBLED",81,0,"FULLY_PARSED"
"halakhah-expansion/issur-veheter-haarokh",60,60,0,"VARIANT_A_DOUBLED",60,0,"FULLY_PARSED"
"halakhah-expansion/issur-veheter-lerashi",137,137,0,"VARIANT_A_DOUBLED",137,0,"FULLY_PARSED"
"halakhah-expansion/kaf-achat",33,33,0,"VARIANT_A_DOUBLED",33,0,"FULLY_PARSED"
