work_id,representation_id,legacy_v1_rights_profile_id,legacy_v1_normalized_license_id,legacy_v1_normalized_license_class,legacy_v1_license_version,legacy_v1_credit_line_state,legacy_v1_source_url_state,legacy_v1_license_link_state,legacy_v1_credit_authority_version_document_id,legacy_v1_credit_authority_document_oid,display_state,distribution_state,selection_descriptor_count,attribution_required_selection_count,public_domain_selection_count,selection_obligation_root_sha256,selection_raw_license_set_json,selection_attribution_posture_set_json,selection_rights_reconciliation_state
grammar/machberet-menachem,REP-EA717F7FBE912014EFD3EF7E,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/ben-ish-chai,REP-05ECFF72FF373EB9699F6840,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/ein-hatekhelet,REP-74230FCBB04F3318691ABE0E,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/hahalakhah-kochah-vetafkidah,REP-7F35A7AEA98084D6DE615A13,RIGHTS-F485390BFEF67D0135EFF788,LIC-CC-BY-NC-UNVERSIONED,CC-BY-NC,UNSPECIFIED,SEALED_READER_CREDIT_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,ESC006-V-FED0077A0910FB81522015FD,665851a4a42b042ab06c1dbf,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/ptil-tekhelet,REP-E4193B7682D75E81AAAE7D4A,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/sefer-hachinukh,REP-6642C47E75DDC1AB83F3B68A,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/sefer-puah,REP-5CBD8EDE9E4BEFB94C4FB398,RIGHTS-F485390BFEF67D0135EFF788,LIC-CC-BY-NC-UNVERSIONED,CC-BY-NC,UNSPECIFIED,SEALED_READER_CREDIT_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,ESC006-V-96225169AD0857CA5DE15A0A,69bbe0162dafb275ff3e36d3,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/shabbat-haaretz,REP-C0D77216C1EE80BBB03058B6,RIGHTS-F485390BFEF67D0135EFF788,LIC-CC-BY-NC-UNVERSIONED,CC-BY-NC,UNSPECIFIED,SEALED_READER_CREDIT_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,ESC006-V-3078EB14AC90532ABB9B146C,60c5b29f705ff9a86004dd6f,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/shulchan-arukh-introduction,REP-D22D4BAF0E9F7D161A457DBB,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/torat-haadam,REP-5E3368C6E3E627C53EE43A1C,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
halakhah/treasures-hidden-in-the-sand,REP-E3271FCF00EAF20D3487B3E6,RIGHTS-B8F3BE822D70C01A4A45E7EE,LIC-CC-BY-UNVERSIONED,CC-BY,UNSPECIFIED,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,,,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
hebrew_thought/derech-hashem,REP-F926371C227FB46DB6B74F1E,RIGHTS-B8F3BE822D70C01A4A45E7EE,LIC-CC-BY-UNVERSIONED,CC-BY,UNSPECIFIED,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,,,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
hekhalot/hekhalot-rabbati,REP-6CDB0D73DA988A5A467FC007,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
