work,family,units,sites,P1,P2,P3,B,IW,class,example
mishnah/mishnah-yoma,mishnah,61,11,0,1,10,0,0,P3,"mishnah-yoma-1-1 w32"
mishnah/mishnah-zevachim,mishnah,101,12,0,0,10,0,2,P3,"mishnah-zevachim-4-3 w15"
musar/maamar-mezakeh-harabim,mussar,59,16,0,0,15,0,1,P3,"maamar-mezakeh-harabim-1-1 w5"
musar/yaarot-devash-ii,mussar,1308,2,0,1,1,0,0,MIXED_P2,"yaarot-devash-ii-6-20 w147"
second-temple/book-of-jubilees,second_temple_review,1758,56,0,8,0,46,2,B,"book-of-jubilees-4-46 w2"
second-temple/book-of-tobit,second_temple_review,76,80,0,15,27,30,8,MIXED_B,"book-of-tobit-1-1 w7"
second-temple/the-book-of-maccabees-i,second_temple_review,954,1,0,1,0,0,0,P2,"the-book-of-maccabees-i-7-31 w8"
second-temple/the-book-of-maccabees-ii,second_temple_review,660,1,0,1,0,0,0,P2,"the-book-of-maccabees-ii-14-2 w9"
targum/aramaic-targum-to-ecclesiastes,targum,222,16,0,1,0,15,0,B,"aramaic-targum-to-ecclesiastes-1-8 w38"
targum/aramaic-targum-to-lamentations,targum,154,6,0,1,5,0,0,P3,"aramaic-targum-to-lamentations-2-9 w3"
targum/aramaic-targum-to-proverbs,targum,915,5,0,4,1,0,0,P2,"aramaic-targum-to-proverbs-4-4 w3"
targum/targum-jonathan-on-exodus,targum,1210,2,0,1,1,0,0,MIXED_P2,"targum-jonathan-on-exodus-10-3 w16"
targum/targum-jonathan-on-genesis,targum,1525,7,0,3,4,0,0,MIXED_P3,"targum-jonathan-on-genesis-11-8 w17"
targum/targum-jonathan-on-i-samuel,targum,811,1,0,1,0,0,0,P2,"targum-jonathan-on-i-samuel-18-18 w7"
targum/targum-jonathan-on-ii-kings,targum,719,1,0,1,0,0,0,P2,"targum-jonathan-on-ii-kings-23-18 w9"
targum/targum-jonathan-on-jeremiah,targum,1364,5,0,4,1,0,0,P2,"targum-jonathan-on-jeremiah-12-3 w9"
targum/targum-jonathan-on-leviticus,targum,859,3,0,1,1,1,0,MIXED_P2,"targum-jonathan-on-leviticus-19-9 w11"
targum/targum-jonathan-on-numbers,targum,1288,2,0,1,1,0,0,MIXED_P2,"targum-jonathan-on-numbers-5-23 w0"
targum/targum-jonathan-on-zechariah,targum,211,1,0,1,0,0,0,P2,"targum-jonathan-on-zechariah-13-8 w10"
targum/targum-of-i-chronicles,targum,943,137,0,12,125,0,0,P3,"targum-of-i-chronicles-1-5 w27"
targum/targum-of-ii-chronicles,targum,822,282,0,3,279,0,0,P3,"targum-of-ii-chronicles-1-4 w8"
tosefta/tosefta-arakhin,tosefta,44,42,0,12,28,2,0,P3,"tosefta-arakhin-1-4 w175"
tosefta/tosefta-avodah-zarah,tosefta,41,28,0,1,26,1,0,P3,"tosefta-avodah-zarah-1-3 w343"
tosefta/tosefta-bava-batra,tosefta,73,10,0,1,6,3,0,MIXED_P3,"tosefta-bava-batra-2-4 w121"
tosefta/tosefta-bava-kamma,tosefta,100,58,0,7,48,3,0,P3,"tosefta-bava-kamma-1-1 w116"
tosefta/tosefta-bava-metzia,tosefta,118,22,0,5,15,2,0,P3,"tosefta-bava-metzia-2-10 w55"
tosefta/tosefta-berakhot,tosefta,151,134,0,10,64,60,0,MIXED_P3,"tosefta-berakhot-1-1 w35"
tosefta/tosefta-chagigah,tosefta,31,64,0,1,16,47,0,B,"tosefta-chagigah-1-1 w5"
tosefta/tosefta-demai,tosefta,151,106,0,3,9,94,0,B,"tosefta-demai-1-1 w22"
tosefta/tosefta-eduyot,tosefta,27,12,0,1,10,1,0,P3,"tosefta-eduyot-1-1 w20"
tosefta/tosefta-horayot,tosefta,19,16,0,2,13,1,0,P3,"tosefta-horayot-1-3 w39"
tosefta/tosefta-kelim-metzia,tosefta,59,14,0,1,3,10,0,B,"tosefta-kelim-metzia-3-3 w19"
tosefta/tosefta-ketubot,tosefta,125,160,0,1,7,152,0,B,"tosefta-ketubot-1-1 w21"
tosefta/tosefta-kiddushin,tosefta,58,77,0,3,13,61,0,B,"tosefta-kiddushin-1-2 w26"
tosefta/tosefta-maaser-sheni,tosefta,89,66,0,1,12,53,0,B,"tosefta-maaser-sheni-1-1 w31"
tosefta/tosefta-makkot,tosefta,27,19,0,3,10,6,0,MIXED_P3,"tosefta-makkot-1-5 w48"
tosefta/tosefta-megillah,tosefta,46,86,0,4,32,50,0,MIXED_B,"tosefta-megillah-1-1 w10"
