"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-44084770fa32","מוקדם","מוקדמ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-36c9b195658d","מסיני","מסיני","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-91c6b7096df4","מפסוק","מפסוק","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-36e4ef2bcf50","מקרא","מקרא","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-9886537bf5ac","נאמרה","נאמרה","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-109c4d696fc9","נסים","נסימ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-809378315031","קרויה","קרויה","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-2f05f5fa268d","שאל","שאל","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-4eb4f09894fe","שבטים","שבטימ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-b25360af9c2b","שהקריבו","שהקריבו","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-4adeb2c304fc","שכתוב","שכתוב","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-635b0c9f6ce3","שמם","שממ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-e4a6d67e933a","תסור","תסור","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
