work_id,chunks,candidate_claim_links,unique_claims
par-echad-on-pirkei-derabbi-eliezer,6,5770,2911
pardes-rimmonim,39,19186,5804
pat-lechem,10,9175,3870
pele-yoetz,28,16958,5592
peri-etz-hadar,2,2295,1372
peri-haaretz,13,11491,4249
peri-tzadik,58,23343,6409
perush-maharzu-on-bamidbar-rabbah,4,4245,2287
perush-maharzu-on-bereshit-rabbah,7,6934,3267
perush-maharzu-on-devarim-rabbah,2,1804,1161
perush-maharzu-on-eichah-rabbah,4,4397,2413
perush-maharzu-on-esther-rabbah,1,1011,755
perush-maharzu-on-kohelet-rabbah,7,7169,3297
perush-maharzu-on-ruth-rabbah,1,1226,881
perush-maharzu-on-shemot-rabbah,6,5724,2927
perush-maharzu-on-shir-hashirim-rabbah,10,8559,3820
perush-maharzu-on-vayikra-rabbah,5,5262,2717
pesach-haggadah,3,3390,1810
pesikta-derav-kahana,14,9767,4354
pesikta-rabbati,4,3851,2172
pirkei-avot,3,3085,1695
pirkei-derabbi-eliezer,12,11532,3958
pri-etz-chaim,10,8066,3505
pri-yitzhak-on-sefer-yetzirah-gra-version,4,4150,2240
proverbs,5,4794,2053
psalms,13,11463,3144
raavad-on-sefer-yetzirah,11,9793,4004
raavad-on-sifra,24,12080,4372
ramban-on-sefer-yetzirah,2,1903,1134
rasag-on-sefer-yetzirah,3,3353,1899
rashi-on-bereshit-rabbah,3,3487,2000
rashi-on-deuteronomy,11,11362,3674
rashi-on-genesis,15,15072,4161
rashi-on-leviticus,10,10204,3336
rashi-on-numbers,11,11470,3637
recanati-on-the-torah,35,18837,5893
ruth,1,779,521
ruth-rabbah,2,2326,1465
seder-maamadot,10,12149,3419
seder-olam-rabbah,1,478,387
seder-olam-zutta,1,1072,773
sefat-emet,40,21350,6055
sefer-etz-chaim,1,1396,857
sefer-haikkarim,4,4581,2257
sefer-hakanah,24,14333,4947
sefer-hamiddot,9,9246,3424
sefer-hayashar,8,7846,3356
sefer-hayashar-midrash,12,9088,3828
sefer-yetzirah,1,1090,782
sefer-yetzirah-gra-version,1,1059,791
selichot-edot-hamizrach,3,2878,1708
selichot-nusach-ashkenaz-lita,15,12943,4194
selichot-nusach-polin,13,11561,4010
shaar-hagemul-of-the-ramban,7,6935,3095
