work_id,state
"tosefta/tosefta-kelim-batra",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-keritot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-ketubot-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-kiddushin",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-kiddushin-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-kilayim",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-kilayim-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-maasrot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-maasrot-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-makhshirin",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-makkot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-megillah-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-meilah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-menachot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-mikvaot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-moed-katan-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-nazir",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-nazir-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-nedarim-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-negaim",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-niddah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-oholot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-orlah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-orlah-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-peah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-pesachim",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-pesachim-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-rosh-hashanah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-shekalim",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-shevuot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-sukkah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-sukkah-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-taanit-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-tahorot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-temurah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-terumot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-tevul-yom",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-yadayim",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-yevamot-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-yoma",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-yoma-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-zavim",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-zevachim",TYPED_ABSENT_NO_ATTESTATION_PACKET
