work_id,work_title,token_index_id,chunk_id,clicked_surface_form,normalized_form,lexical_status,match_method,occurrence_count,safe_min_confidence,safe_max_confidence,safe_export_status,safe_export_statuses,safe_export_rendering_options,safe_source_names,safe_source_ids,safe_licenses,best_confidence_any_public_claim,all_exported_statuses,all_exported_rendering_options,all_exported_licenses,notes,not_a_translation
aggadat-bereshit,Aggadat Bereshit,tok-21e3bebb3cf6,aggadat-bereshit-001,אדונינו,אדונינו,unmatched,unmatched,1,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-efa8bfdf0dc2,aggadat-bereshit-008,אדירו,אדירו,unmatched,unmatched,3,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-ccf3f75724da,aggadat-bereshit-007,אדיריו,אדיריו,matched,affix_parser,2,60,90,safe_options_min60,Strict Hebrew,his huge | its huge | huge,Wikidata Lexeme | OpenScriptures morphHB,L204378 | H117,CC0 | CC BY 4.0,90,Strict Hebrew | Potential,his huge | its huge | huge,CC0 | CC BY 4.0,Use safe_export_* columns for >=60% AI workflow options; this is not a translation.,true
aggadat-bereshit,Aggadat Bereshit,tok-f5df9deb8afa,aggadat-bereshit-008,אדירים,אדירימ,matched,direct,1,60,93,safe_options_min60,Strict Hebrew,huge,Wikidata Lexeme,L204378,CC0,93,Strict Hebrew | Potential,huge,CC0,Use safe_export_* columns for >=60% AI workflow options; this is not a translation.,true
aggadat-bereshit,Aggadat Bereshit,tok-12a0df44f151,aggadat-bereshit-000,אדלעיל,אדלעיל,unmatched,unmatched,1,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-ae1e5fb614a7,aggadat-bereshit-005,אדם,אדמ,matched,direct,83,60,0,no_safe_option_min60,,,,,,65,Potential,"red | human, common name of Homo sapiens, unique extant species of the genus Homo | human | to show blood (in the face) | i.e. flush | turn rosy | be (dyed | made) red (ruddy). | ruddy i.e. a human being (an individual | the species | mankind | etc.) | × another | hypocrite | common sort | × low | rosy | ruddy. | Edom | the elder twin-brother of Jacob | hence the region (Idumaea) occupied by him | Edomites | Idumea. | redness | i.e. the ruby | garnet | some other red gem | sardius. | to be dumb | by implication | to be astonished | to stop | also to perish | cease | be cut down (off) | forbear | Obed-Edom | the name of five Israelites | Obed-edom.",CC0 | CC BY 4.0,"Matched rows exist, but none meet the >=60% safe AI export threshold. Do not infer a definition.",true
aggadat-bereshit,Aggadat Bereshit,tok-c0850d5f71a0,aggadat-bereshit-006,אדמה,אדמה,matched,direct,3,60,0,no_safe_option_min60,,,,,,65,Potential,red | rosy | ruddy. | Admah | a place near the Dead Sea | Admah. | soil (from its general redness) | country | earth | ground | husband(-man) (-ry) | land. | to compare | by implication | to resemble | liken | consider | compare | devise | (be) like(-n),CC0 | CC BY 4.0,"Matched rows exist, but none meet the >=60% safe AI export threshold. Do not infer a definition.",true
aggadat-bereshit,Aggadat Bereshit,tok-e5f8f8d739c6,aggadat-bereshit-007,אדמת,אדמת,matched,direct,1,60,93,safe_options_min60,Strict Hebrew,red,Wikidata Lexeme,L63672,CC0,93,Strict Hebrew | Potential,red,CC0,Use safe_export_* columns for >=60% AI workflow options; this is not a translation.,true
aggadat-bereshit,Aggadat Bereshit,tok-e035790d69e5,aggadat-bereshit-007,אדני,אדני,unmatched,unmatched,7,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-7954f8c4bc4b,aggadat-bereshit-004,אדניו,אדניו,unmatched,unmatched,2,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-6b6d259be912,aggadat-bereshit-003,אדניך,אדניכ,unmatched,unmatched,1,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-2f735bd56b59,aggadat-bereshit-001,אדע,אדע,matched,direct,1,60,0,no_safe_option_min60,,,,,,65,Potential,to know (properly | to ascertain by seeing ) | used in a great variety of senses | figuratively | literally | euphemistically and inferentially (including observation | care | recognition,CC BY 4.0,"Matched rows exist, but none meet the >=60% safe AI export threshold. Do not infer a definition.",true
aggadat-bereshit,Aggadat Bereshit,tok-8ed22c47a8a5,aggadat-bereshit-004,אהב,אהב,unmatched,unmatched,2,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-ed922f583624,aggadat-bereshit-008,אהבה,אהבה,matched,direct,4,60,93,safe_options_min60,Strict Hebrew,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,93,Strict Hebrew | Potential,affection | love | romantic love,CC0,Use safe_export_* columns for >=60% AI workflow options; this is not a translation.,true
aggadat-bereshit,Aggadat Bereshit,tok-a22fd99f3dc9,aggadat-bereshit-005,אהבו,אהבו,unmatched,unmatched,2,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-d40438b63e3f,aggadat-bereshit-007,אהבים,אהבימ,unmatched,unmatched,1,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-2edecfef2b93,aggadat-bereshit-001,אהבתו,אהבתו,matched,direct,2,60,0,no_safe_option_min60,,,,,,52,Potential,"love, affection",CC BY-SA 4.0 / GFDL,"Matched rows exist, but none meet the >=60% safe AI export threshold. Do not infer a definition.",true
aggadat-bereshit,Aggadat Bereshit,tok-b9020e59b372,aggadat-bereshit-006,אהבתי,אהבתי,matched,direct,1,60,0,no_safe_option_min60,,,,,,65,Potential,to have affection for (sexually | otherwise) | (be-) love(-d | -ly | -r) | like | friend. | love.,CC BY 4.0,"Matched rows exist, but none meet the >=60% safe AI export threshold. Do not infer a definition.",true
aggadat-bereshit,Aggadat Bereshit,tok-6f19d8a35832,aggadat-bereshit-003,אהובה,אהובה,unmatched,unmatched,2,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-845b4974744e,aggadat-bereshit-004,אהי׳,אהי׳,unmatched,unmatched,1,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-1fcd6421912b,aggadat-bereshit-001,אהיה,אהיה,matched,direct,4,60,95,safe_options_min60,Strict Hebrew,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,95,Strict Hebrew,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,CC BY 4.0,Use safe_export_* columns for >=60% AI workflow options; this is not a translation.,true
aggadat-bereshit,Aggadat Bereshit,tok-9c599d934c06,aggadat-bereshit-005,אהל,אהל,matched,direct,1,60,0,no_safe_option_min60,,,,,,65,Potential,to be clear | shine. | to tent | pitch (remove) a tent. | a tent (as clearly conspicuous from a distance) | covering | (dwelling) (place) | home | tabernacle | tent. | Ohel | an Israelite | Ohel. | these | those | an-(the) other | one sort | so | some | such | them,CC BY 4.0,"Matched rows exist, but none meet the >=60% safe AI export threshold. Do not infer a definition.",true
aggadat-bereshit,Aggadat Bereshit,tok-acae4819cb92,aggadat-bereshit-005,אהלו,אהלו,unmatched,unmatched,1,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-ccd9eba1b6ac,aggadat-bereshit-007,אהלי,אהלי,unmatched,unmatched,2,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
aggadat-bereshit,Aggadat Bereshit,tok-5c08a5754d8d,aggadat-bereshit-003,אהלך,אהלכ,matched,direct,1,60,0,no_safe_option_min60,,,,,,65,Potential,a tent (as clearly conspicuous from a distance) | covering | (dwelling) (place) | home | tabernacle | tent. | to walk (in a great variety of applications | literally and figuratively) | (all) along | apace | behave (self) | come | (on) continually | be conversant,CC BY 4.0,"Matched rows exist, but none meet the >=60% safe AI export threshold. Do not infer a definition.",true
aggadat-bereshit,Aggadat Bereshit,tok-632bbbb99ed5,aggadat-bereshit-003,אהרוג,אהרוג,unmatched,unmatched,1,60,0,unresolved,,,,,,0,,,,No lexical entry yet.,true
